label,seed,n,m,dmax,bmax,seconds,peak_rss_mb,curvature_count
MIS-2M,101,43,61,10,17,0.010413099997094832,157.8125,61
MIS-2M,202,43,71,11,19,0.009452300000702962,157.546875,71
MIS-2M,303,42,72,11,19,0.013455200001772027,157.19140625,72
MIS-4M,101,83,130,10,20,0.019190099999832455,158.015625,130
MIS-4M,202,83,135,11,21,0.015763700001116376,158.30078125,135
MIS-4M,303,83,138,11,21,0.025733199996466283,158.07421875,138
MIS-6M,101,123,196,12,25,0.027167599997483194,158.484375,196
MIS-6M,202,123,198,12,25,0.02834409999923082,159.20703125,198
MIS-6M,303,123,204,12,25,0.025907199997163843,158.86328125,204
MIS-8M,101,163,274,16,29,0.04179650000151014,160.08984375,274
MIS-8M,202,163,262,16,29,0.04256590000295546,159.515625,262
MIS-8M,303,163,271,16,29,0.046566400000301655,159.01953125,271
MIS-12M,101,242,405,24,37,0.062285899999551475,162.16796875,405
MIS-12M,202,243,397,24,37,0.06093130000226665,161.64453125,397
MIS-12M,303,242,400,24,37,0.05653280000115046,162.60546875,400
